4XM02218,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        52,                    ,2024/07/29
4XM02214,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        22,                    ,2024/07/30
4XM02225,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        30,                    ,0000/00/00
4XM02127,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        24,                    ,2024/02/28
4XM02203,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        67,                    ,2024/06/26
4XM02223,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,       139,                    ,2024/07/30
5AM02029,CUERO     ,QUINTAS MEDIANO               ,                              ,     ,REBAJADO       ,PRODUCCION          ,         3,                    ,2023/07/23
5AM01655,CUERO     ,QUINTAS MEDIANO               ,                              ,     ,REBAJADO       ,PRODUCCION          ,         7,                    ,2023/04/26
5AM01659,CUERO     ,QUINTAS MEDIANO               ,                              ,     ,REBAJADO       ,PRODUCCION          ,         1,                    ,2023/04/26
5AM01660,CUERO     ,QUINTAS MEDIANO               ,                              ,     ,REBAJADO       ,PRODUCCION          ,         2,                    ,2023/04/26
5AM01666,CUERO     ,QUINTAS MEDIANO               ,                              ,     ,REBAJADO       ,PRODUCCION          ,         1,                    ,2023/04/26
5AM01670,CUERO     ,QUINTAS MEDIANO               ,                              ,     ,REBAJADO       ,PRODUCCION          ,        16,                    ,2023/04/26
5AM01683,CUERO     ,QUINTAS MEDIANO               ,                              ,     ,REBAJADO       ,PRODUCCION          ,         5,                    ,2023/04/26
5AM01690,CUERO     ,QUINTAS MEDIANO               ,                              ,     ,REBAJADO       ,PRODUCCION          ,        10,                    ,2023/04/26
5AM01693,CUERO     ,QUINTAS MEDIANO               ,                              ,     ,REBAJADO       ,PRODUCCION          ,         9,                    ,2023/04/26
5AM01697,CUERO     ,QUINTAS MEDIANO               ,                              ,     ,REBAJADO       ,PRODUCCION          ,        10,                    ,2023/04/26
5AM01709,CUERO     ,QUINTAS MEDIANO               ,                              ,     ,REBAJADO       ,PRODUCCION          ,         3,                    ,2023/04/26
5AM01751,CUERO     ,QUINTAS MEDIANO               ,                              ,     ,REBAJADO       ,PRODUCCION          ,        11,                    ,2023/04/26
5AM01754,CUERO     ,QUINTAS MEDIANO               ,                              ,     ,REBAJADO       ,PRODUCCION          ,        31,                    ,2023/04/26
5AM01962,CUERO     ,QUINTAS MEDIANO               ,                              ,     ,REBAJADO       ,PRODUCCION          ,         6,                    ,2023/04/26
5AM01963,CUERO     ,QUINTAS MEDIANO               ,                              ,     ,REBAJADO       ,PRODUCCION          ,        15,                    ,2023/04/26
5AM01965,CUERO     ,QUINTAS MEDIANO               ,                              ,     ,REBAJADO       ,PRODUCCION          ,        22,                    ,2023/04/26
5AM01966,CUERO     ,QUINTAS MEDIANO               ,                              ,     ,REBAJADO       ,PRODUCCION          ,        10,                    ,2023/04/26
